Idx,SampleID,Class,Diet,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42
1,CON1-BA,0,Normal,0.024268,0.018907,0.030357,0.192962,0.389758,0.037912,0.08274,0.036616,0.02344,0.011495,0.014823,0.002006,0.009547,0.047825,0.191469,0.015701,0.015418,0.004286,0.023756,0.146737,0.007015,0.051277,8.31E-04,0.059535,0.001234,0.669314,0.001061,0.002116,0.001051,2.80E-04,0.001447,6.60E-05,6.34E-04,8.60E-05,3.76E-04,0.003458,8.30E-05,3.30E-05,6.10E-05,0.002568,1.79E-04,3.52E-04
2,CON2-BA,0,Normal,0.010279,0.026554,0.011731,0.118642,0.375821,0.03529,0.182786,0.019226,0.009803,0.004882,0.385392,0.006189,0.011574,0.019743,0.196547,0.008537,0.009183,0.004671,0.012336,0.018663,0.004137,0.021959,5.03E-04,0.026709,5.57E-04,0.29489,7.96E-04,0.00348,0.001001,1.57E-04,0.003864,2.70E-05,6.95E-04,8.60E-05,3.96E-04,0.003458,3.29E-04,3.90E-05,7.20E-05,0.001739,1.00E-06,3.91E-04
3,CON3-BA,0,Normal,0.018591,0.022154,0.055893,0.279967,0.396904,0.02535,0.118608,0.880001,0.050325,0.00819,0.085206,0.003726,0.005455,0.024619,0.166087,0.013898,0.004384,0.003445,0.031087,0.14762,0.003326,0.052845,7.10E-04,0.040296,7.64E-04,0.344789,6.72E-04,0.003118,0.001337,2.80E-04,0.003419,6.50E-05,0.001115,1.38E-04,1.67E-04,0.003899,5.73E-04,2.50E-05,1.01E-04,0.00302,1.66E-04,3.95E-04
4,CON4-BA,0,Normal,0.028157,0.008598,0.019798,0.14258,0.110375,0.025265,0.027236,0.029228,0.028914,0.010885,0.006803,0.001586,0.011574,0.028235,0.196547,0.008926,0.010336,0.004064,0.024644,0.147873,0.008959,0.086542,3.76E-04,0.061851,0.001352,0.334133,2.12E-04,0.002837,9.06E-04,7.20E-05,0.001819,2.50E-05,1.65E-04,8.60E-05,3.80E-04,5.08E-04,1.44E-04,3.50E-05,1.70E-04,1.77E-04,3.50E-05,3.31E-04
5,CON5-BA,0,Normal,0.021053,0.009338,0.01183,0.208497,0.272574,0.030219,0.057851,0.022656,0.024638,0.009785,0.007381,0.002297,0.011574,0.026106,0.196547,0.009316,0.014215,0.00296,0.019372,0.081739,0.007653,0.043484,7.16E-04,0.070836,3.75E-04,0.461803,4.56E-04,0.001336,0.001119,1.96E-04,0.005608,3.30E-05,6.30E-04,8.60E-05,3.15E-04,0.002652,3.93E-04,2.90E-05,5.50E-05,8.62E-04,6.90E-05,3.12E-04
6,CON6-BA,0,Normal,0.017074,0.010821,0.034417,0.245964,0.116299,0.01216,0.040944,0.356146,0.009338,0.008348,0.008546,0.004239,0.006079,0.023552,0.196547,0.005478,0.012387,0.001754,0.004287,0.095952,0.00867,0.119863,2.34E-04,0.052431,4.54E-04,0.434144,7.96E-04,0.005935,0.001438,1.05E-04,0.004586,4.20E-05,4.14E-04,7.00E-05,4.08E-04,0.002679,2.05E-04,3.00E-05,6.20E-05,3.44E-04,7.20E-05,2.40E-04
7,CON7-BA,0,Normal,0.02795,0.016062,0.074484,0.339122,0.887079,0.067851,0.246801,1.080604,0.062281,0.00819,0.087951,0.005225,0.01103,0.018496,0.196547,0.026364,0.006428,0.00955,0.019247,0.033082,0.004572,0.060343,0.001989,0.055356,7.89E-04,0.399736,7.14E-04,4.92E-04,9.82E-04,2.80E-04,9.78E-04,3.39E-04,2.83E-04,5.00E-05,1.62E-04,8.12E-04,4.67E-04,3.30E-05,8.70E-05,0.004132,2.81E-04,0.001347
8,HFD1-BA,1,High-fat diet,0.174683,0.064772,0.016903,0.269203,1.127978,0.095316,0.22425,0.040546,0.033521,0.009725,0.050445,0.013272,0.00713,0.033675,0.071801,0.018179,0.011961,0.008402,0.012884,0.048852,0.005879,0.045658,0.00141,0.021665,0.002985,0.407164,6.28E-04,0.002188,0.004294,1.61E-04,0.004986,9.50E-05,0.002846,7.70E-05,4.61E-04,0.006586,5.50E-04,1.31E-04,5.70E-05,0.004746,2.32E-04,3.89E-04
9,HFD2-BA,1,High-fat diet,0.180092,0.081136,0.034674,0.470985,1.035971,0.055963,0.198144,0.090366,0.054883,0.009261,0.063155,0.029217,0.00713,0.037645,0.071801,0.004166,0.005917,0.002714,0.009145,0.051319,0.005488,0.084472,0.001192,0.027154,0.004178,0.481503,6.29E-04,0.003968,0.003476,5.01E-04,0.004849,5.10E-05,0.001686,1.08E-04,6.09E-04,0.008188,4.98E-04,1.82E-04,7.20E-05,0.002882,3.80E-05,4.40E-04
10,HFD3-BA,1,High-fat diet,0.146092,0.024194,0.075222,0.315341,0.728416,0.044439,0.107511,0.036857,0.020169,0.011003,0.018948,0.003631,0.00713,0.036679,0.071801,0.011856,0.02204,0.004273,0.014198,0.086608,0.009211,0.100571,5.38E-04,0.027869,0.003412,0.650193,9.99E-04,7.51E-04,0.004254,8.50E-04,0.011895,1.31E-04,0.002565,1.32E-04,7.97E-04,0.006927,3.78E-04,7.70E-05,6.80E-05,0.001954,1.48E-04,4.22E-04
11,HFD4-BA,1,High-fat diet,0.31983,0.101397,0.126258,0.675702,1.229924,0.057098,0.119062,0.536921,0.048321,0.006157,0.246328,0.02996,0.00662,0.048465,0.071801,0.006136,0.00462,0.002484,0.021306,0.052441,0.011632,0.093473,0.001443,0.022718,0.004543,0.325874,2.46E-04,0.001936,0.003898,6.93E-04,0.006166,1.37E-04,0.004487,1.11E-04,4.91E-04,0.008114,8.71E-04,1.31E-04,1.77E-04,0.001723,1.60E-05,2.08E-04
12,HFD5-BA,1,High-fat diet,0.193839,0.065327,0.019617,0.360806,1.140841,0.087651,0.227466,0.06586,0.035021,0.014908,1.127317,0.048398,0.00713,0.029215,0.071801,0.018187,0.012302,0.010217,0.01591,0.059434,0.006191,0.085113,4.67E-04,0.04461,0.00507,0.613444,0.00145,0.002139,0.003505,4.45E-04,0.005967,4.00E-05,0.002568,6.00E-05,3.78E-04,0.008114,5.17E-04,1.72E-04,5.60E-05,0.003205,9.30E-05,6.65E-04
13,HFD6-BA,1,High-fat diet,0.217884,0.021364,0.033493,0.265347,0.771555,0.035697,0.129849,0.759754,0.042421,0.010211,0.246328,0.001883,0.004894,0.016625,0.105042,0.009878,0.004483,0.003287,0.021306,0.056651,0.002223,0.050344,6.49E-04,0.031637,0.012873,0.25368,1.96E-04,0.002397,0.004335,4.12E-04,8.04E-04,1.60E-05,4.98E-04,1.31E-04,4.38E-04,6.91E-04,2.28E-04,2.26E-04,8.50E-05,7.42E-04,5.60E-05,3.86E-04
14,HFD7-BA,1,High-fat diet,0.292765,0.059698,0.14856,1.038367,0.886957,0.071968,0.240171,1.602734,0.164745,0.010211,0.193474,0.02106,0.011067,0.026136,0.071801,0.034338,0.001676,0.007754,0.054392,0.060731,0.030651,0.182352,0.001916,0.066091,6.93E-04,0.392109,7.77E-04,0.001938,0.005291,4.45E-04,0.007269,3.08E-04,0.002934,1.38E-04,1.27E-04,0.021421,6.47E-04,1.53E-04,8.00E-05,0.008264,3.71E-04,0.001611
15,CBA1-BA,3,Normal diet supplemented with bile acids,0.770971,0.019755,0.086634,0.29648,1.201891,0.038508,0.111209,0.618262,0.023272,0.015509,0.053165,0.080596,0.015025,0.006266,0.055748,0.006607,0.00196,0.004404,0.004687,0.009214,0.051597,0.40944,0.00357,0.026898,0.001421,0.924169,7.50E-04,0.025769,0.005803,3.29E-04,0.003691,0.001603,0.013938,1.00E-04,5.20E-04,0.004323,6.02E-04,4.34E-04,2.05E-04,0.023623,3.13E-04,0.001129
16,CBA2-BA,3,Normal diet supplemented with bile acids,0.24386,0.028566,0.060124,0.203096,0.901898,0.083148,0.162958,0.637833,0.008767,0.018263,0.02239,0.004974,0.006537,0.036864,0.055748,0.024238,0.024374,0.009868,0.002329,0.114295,0.005746,0.080682,0.001126,0.050483,0.001443,1.077259,9.33E-04,0.00393,0.002615,1.53E-04,0.001135,2.12E-04,0.001311,1.08E-04,5.26E-04,0.002661,3.10E-04,6.10E-05,1.07E-04,0.004548,2.66E-04,3.64E-04
17,CBA3-BA,3,Normal diet supplemented with bile acids,0.24386,0.005645,0.003895,0.058322,0.835239,0.024617,0.0791,0.473817,0.005281,0.017944,0.319712,0.042431,0.006537,0.016087,0.055748,0.006675,0.008619,0.003622,0.002692,0.020106,0.008408,0.040843,0.002191,0.019592,3.47E-04,0.423695,7.35E-04,3.76E-04,0.002615,3.16E-04,0.001479,2.60E-05,0.003728,8.80E-05,3.12E-04,0.002661,3.10E-04,3.60E-05,6.60E-05,0.002045,2.10E-05,3.71E-04
